cadence,window_start,window_end,n_rotations,n_trades,avg_eligible,min_eligible,avg_turnover_pct_per_rotation,total_costs_usd,gross_bps_per_rotation,net_bps_per_rotation,gross_annual_pct,friction_drag_annual_pct,net_annual_pct,ci95_lb_net_annual_pct,ci95_ub_net_annual_pct,rule_a_ci95_lb_gt_0,rule_b_net_gt_2x_friction,cadence_pass
monthly,2024-08-01,2026-07-31,24,110,42.5,38,92.7,72.49,597.56,591.52,71.71,0.72,70.98,32.31,103.99,True,True,True
weekly,2024-08-01,2026-07-31,105,232,42.5,36,43.2,150.59,117.51,114.64,61.1,1.49,59.61,1.21,119.73,True,True,True
